1461,20,6,80,11622,2,2,2,2,2,2,2,13,3,2,2,3,5,6,1961,1961,2,2,2,2,3,0,3,2,3,3,2,2,5,468,7,144,270,882,2,4,2,2,896,0,0,896,0,0,1,0,2,1,3,5,2,0,2,2,1961,3,1,730,2,2,2,140,0,0,0,120,0,2,3,2,0,6,2010,2,2
1462,20,2,81,14267,2,2,3,2,2,4,2,13,2,2,2,3,6,6,1958,1958,3,2,4,7,2,108,3,2,3,3,2,2,3,923,2,0,406,1329,2,4,2,2,1329,0,0,1329,0,0,1,1,3,1,2,6,2,0,2,2,1958,3,1,312,2,2,2,393,36,0,0,0,0,2,2,4,12500,6,2010,2,2
1463,60,2,74,13830,2,2,3,2,2,2,2,19,2,2,2,2,5,5,1997,1998,2,2,2,2,3,0,3,2,2,2,2,2,2,791,2,0,137,928,2,3,2,2,928,701,0,1629,0,0,2,1,3,1,3,6,2,1,3,2,1997,4,2,482,2,2,2,212,34,0,0,0,0,2,3,2,0,3,2010,2,2
1464,60,2,78,9978,2,2,3,2,2,2,2,19,2,2,2,2,6,6,1998,1998,2,2,2,2,2,20,3,2,2,3,2,2,2,602,2,0,324,926,2,2,2,2,926,678,0,1604,0,0,2,1,3,1,2,7,2,1,4,2,1998,4,2,470,2,2,2,360,36,0,0,0,0,2,2,2,0,6,2010,2,2
1465,120,2,43,5005,2,2,3,5,2,2,2,20,2,2,5,3,8,5,1992,1992,2,2,5,5,3,0,2,2,2,2,2,2,3,263,2,0,1017,1280,2,2,2,2,1280,0,0,1280,0,0,2,0,2,1,2,5,2,0,2,2,1992,2,2,506,2,2,2,0,82,0,0,144,0,2,2,2,0,1,2010,2,2
1466,60,2,75,10000,2,2,3,2,2,4,2,19,2,2,2,2,6,5,1993,1994,2,2,5,5,3,0,3,2,2,2,2,2,4,0,2,0,763,763,2,3,2,2,763,892,0,1655,0,0,2,1,3,1,3,7,2,1,3,2,1993,4,2,440,2,2,2,157,84,0,0,0,0,2,2,2,0,4,2010,2,2
1467,20,2,2,7980,2,2,3,2,2,2,2,19,2,2,2,3,6,7,1992,2007,2,2,5,5,3,0,3,3,2,2,2,2,3,935,2,0,233,1168,2,2,2,2,1187,0,0,1187,1,0,2,0,3,1,3,6,2,0,2,2,1992,4,2,420,2,2,2,483,21,0,0,0,0,2,5,3,500,3,2010,2,2
1468,60,2,63,8402,2,2,3,2,2,2,2,19,2,2,2,2,6,5,1998,1998,2,2,2,2,3,0,3,2,2,2,2,2,4,0,2,0,789,789,2,3,2,2,789,676,0,1465,0,0,2,1,3,1,3,7,2,1,4,2,1998,4,2,393,2,2,2,0,75,0,0,0,0,2,2,2,0,5,2010,2,2
1469,20,2,85,10176,2,2,2,2,2,2,2,19,2,2,2,3,7,5,1990,1990,2,2,5,5,3,0,3,2,2,2,2,3,2,637,2,0,663,1300,2,3,2,2,1341,0,0,1341,1,0,1,1,2,1,2,5,2,1,7,2,1990,3,2,506,2,2,2,192,0,0,0,0,0,2,2,2,0,2,2010,2,2
1470,20,2,70,8400,2,2,2,2,2,4,2,13,2,2,2,3,4,5,1970,1970,2,2,9,6,3,0,3,2,3,3,2,2,3,804,6,78,0,882,2,4,2,2,882,0,0,882,1,0,1,0,2,1,3,4,2,0,2,2,1970,4,2,525,2,2,2,240,0,0,0,0,0,2,3,2,0,4,2010,2,2
1471,120,6,26,5858,2,2,3,2,2,3,2,13,2,2,5,3,7,5,1999,1999,2,2,3,3,3,0,2,2,2,2,2,2,2,1051,3,0,354,1405,2,2,2,2,1337,0,0,1337,1,0,2,0,2,1,2,5,2,1,5,2,1999,4,2,511,2,2,2,203,68,0,0,0,0,2,2,2,0,6,2010,2,2
1472,160,3,21,1680,2,2,2,2,2,2,2,24,2,2,6,2,6,5,1971,1971,2,2,5,5,2,504,3,2,3,3,2,2,5,156,2,0,327,483,2,4,2,2,483,504,0,987,0,0,1,1,2,1,3,5,2,0,2,3,1971,3,1,264,2,2,2,275,0,0,0,0,0,2,2,2,0,2,2010,4,2
1473,160,3,21,1680,2,2,2,2,2,2,2,24,2,2,6,2,5,5,1971,1971,2,2,5,5,2,492,3,2,3,3,2,2,5,300,2,0,225,525,2,4,2,2,525,567,0,1092,0,0,1,1,3,1,3,6,2,0,2,3,1997,3,1,320,2,2,2,0,0,0,0,0,0,2,2,2,0,3,2010,2,2
1474,160,2,24,2280,2,2,2,2,2,3,2,22,2,2,6,2,6,6,1975,1975,2,2,9,12,3,0,3,2,3,3,2,2,3,514,2,0,341,855,2,4,2,2,855,601,0,1456,0,0,2,1,3,1,2,6,2,1,3,2,1975,3,2,440,2,2,2,173,0,0,0,0,0,2,2,2,0,6,2010,2,2
1475,120,2,24,2280,2,2,2,2,2,3,2,22,2,2,6,3,7,6,1975,1975,2,2,9,12,3,0,3,2,3,2,2,2,4,0,2,0,836,836,2,2,2,2,836,0,0,836,0,0,1,0,2,1,3,4,2,0,2,2,1975,3,1,308,2,2,2,0,30,0,0,0,0,2,2,2,0,6,2010,2,2
1476,60,2,102,12858,2,2,3,2,2,2,2,12,2,2,2,2,9,5,2009,2010,2,2,2,2,4,162,4,2,2,4,2,2,4,0,2,0,1590,1590,2,2,2,2,1627,707,0,2334,0,0,2,1,3,1,4,10,2,1,4,2,2009,4,3,751,2,2,2,144,133,0,0,0,0,2,2,2,0,1,2010,3,4
1477,20,2,94,12883,2,2,3,2,2,4,2,12,2,2,2,3,8,5,2009,2010,2,2,2,2,4,256,2,2,2,2,2,2,4,0,2,0,1544,1544,2,2,2,2,1544,0,0,1544,0,0,2,0,3,1,2,7,2,0,2,2,2009,2,3,868,2,2,2,0,35,0,0,0,0,2,2,2,0,6,2010,3,4
1478,20,2,90,11520,2,2,2,2,2,2,2,12,4,2,2,3,9,5,2005,2005,3,2,2,2,2,615,2,2,2,4,2,2,2,110,2,0,1588,1698,2,2,2,2,1698,0,0,1698,0,0,2,0,3,1,4,7,2,1,4,2,2005,4,3,730,2,2,2,192,74,0,0,0,0,2,2,2,0,6,2010,2,2
1479,20,2,79,14122,2,2,3,2,2,2,2,12,2,2,2,3,8,5,2005,2006,3,2,8,8,2,240,2,2,2,4,2,2,2,28,2,0,1794,1822,2,2,2,2,1822,0,0,1822,0,0,2,0,3,1,4,8,2,1,4,2,2005,2,3,678,2,2,2,0,119,0,0,0,0,2,2,2,0,2,2010,2,2
1480,20,2,110,14300,2,2,2,5,2,2,3,12,2,2,2,3,9,5,2003,2004,3,2,2,2,2,1095,4,2,2,4,2,3,2,1373,2,0,1473,2846,2,2,2,2,2696,0,0,2696,1,0,2,1,3,1,4,10,2,2,4,2,2003,4,3,958,2,2,2,220,150,0,0,0,0,2,2,2,0,6,2010,2,2
1481,60,2,105,13650,2,2,2,2,2,4,2,12,2,2,2,2,8,5,2002,2002,2,2,2,2,2,232,2,2,2,2,2,3,2,578,2,0,1093,1671,2,2,2,2,1687,563,0,2250,1,0,2,1,3,1,2,7,2,1,6,2,2002,4,3,756,2,2,2,238,130,0,0,0,0,2,2,2,0,6,2010,2,2
1482,120,2,41,7132,2,2,3,2,2,2,2,12,2,2,5,3,8,5,2006,2006,2,2,2,2,4,178,2,2,2,2,2,4,2,24,2,0,1346,1370,2,2,2,2,1370,0,0,1370,0,0,2,0,2,1,2,6,2,1,4,2,2006,2,2,484,2,2,2,120,49,0,0,0,0,2,2,2,0,4,2010,2,2
1483,20,2,100,18494,2,2,3,2,2,4,2,19,2,2,2,3,6,5,2005,2005,2,2,2,2,3,0,2,2,2,2,2,2,4,0,2,0,1324,1324,2,2,2,2,1324,0,0,1324,0,0,2,0,3,1,2,6,2,0,2,2,2005,4,2,430,2,2,2,36,23,0,0,0,0,2,2,2,0,1,2010,2,2
1484,120,2,43,3203,2,2,2,2,2,2,2,23,2,2,5,3,7,5,2006,2006,2,2,2,2,2,14,2,2,2,2,2,5,2,16,2,0,1129,1145,2,2,2,2,1145,0,0,1145,0,0,2,0,2,1,2,6,2,0,2,2,2006,4,2,437,2,2,2,100,116,0,0,0,0,2,2,2,0,1,2010,2,2
1485,80,2,67,13300,2,2,3,2,2,2,2,19,2,2,2,7,7,5,2004,2004,2,2,2,2,3,0,2,2,2,2,2,2,2,326,2,0,58,384,2,2,2,2,744,630,0,1374,1,0,2,1,3,1,2,7,2,1,4,4,2004,4,2,400,2,2,2,100,0,0,0,0,0,2,2,2,0,6,2010,2,2
